Channel 4mu
0 output_MonoHZZ4l_ZpBaryonic_MZp-10000_MChi-1000_13TeV-madgraph 7.18553442347e-10
1 output_MonoHZZ4l_ZpBaryonic_MZp-10000_MChi-10_13TeV-madgraph 1.80851379032e-09
2 output_MonoHZZ4l_ZpBaryonic_MZp-10000_MChi-150_13TeV-madgraph 1.7336427558e-09
3 output_MonoHZZ4l_ZpBaryonic_MZp-10000_MChi-1_13TeV-madgraph 1.78876254571e-09
4 output_MonoHZZ4l_ZpBaryonic_MZp-10000_MChi-500_13TeV-madgraph 1.23299250724e-09
5 output_MonoHZZ4l_ZpBaryonic_MZp-10000_MChi-50_13TeV-madgraph 1.76713867772e-09
6 output_MonoHZZ4l_ZpBaryonic_MZp-1000_MChi-1000_13TeV-madgraph 1.43351547843e-07
7 output_MonoHZZ4l_ZpBaryonic_MZp-1000_MChi-150_13TeV-madgraph 0.0730274396851
8 output_MonoHZZ4l_ZpBaryonic_MZp-1000_MChi-1_13TeV-madgraph 0.0757205734483
9 output_MonoHZZ4l_ZpBaryonic_MZp-100_MChi-10_13TeV-madgraph 0.647437643835
10 output_MonoHZZ4l_ZpBaryonic_MZp-100_MChi-1_13TeV-madgraph 0.690506943336
11 output_MonoHZZ4l_ZpBaryonic_MZp-10_MChi-1000_13TeV-madgraph 6.87949960516e-12
12 output_MonoHZZ4l_ZpBaryonic_MZp-10_MChi-10_13TeV-madgraph 0.00241009677797
13 output_MonoHZZ4l_ZpBaryonic_MZp-10_MChi-150_13TeV-madgraph 1.03809383236e-06
14 output_MonoHZZ4l_ZpBaryonic_MZp-10_MChi-1_13TeV-madgraph 0.611775067136
15 output_MonoHZZ4l_ZpBaryonic_MZp-10_MChi-500_13TeV-madgraph 1.44058212907e-09
16 output_MonoHZZ4l_ZpBaryonic_MZp-10_MChi-50_13TeV-madgraph 7.4205054017e-05
17 output_MonoHZZ4l_ZpBaryonic_MZp-15_MChi-10_13TeV-madgraph 0.00829955520257
18 output_MonoHZZ4l_ZpBaryonic_MZp-1995_MChi-1000_13TeV-madgraph 0.000256786219828
19 output_MonoHZZ4l_ZpBaryonic_MZp-2000_MChi-1_13TeV-madgraph 0.00443119271489
20 output_MonoHZZ4l_ZpBaryonic_MZp-2000_MChi-500_13TeV-madgraph 0.00459791180289
21 output_MonoHZZ4l_ZpBaryonic_MZp-200_MChi-150_13TeV-madgraph 0.00107869875003
22 output_MonoHZZ4l_ZpBaryonic_MZp-200_MChi-1_13TeV-madgraph 0.575423020531
23 output_MonoHZZ4l_ZpBaryonic_MZp-200_MChi-50_13TeV-madgraph 0.538801234393
