Channel 4mu
0 output_MonoHZZ4l_ZpBaryonic_MZp-10000_MChi-1000_13TeV-madgraph 6.3895723663e-10
1 output_MonoHZZ4l_ZpBaryonic_MZp-10000_MChi-10_13TeV-madgraph 1.61527562e-09
2 output_MonoHZZ4l_ZpBaryonic_MZp-10000_MChi-150_13TeV-madgraph 1.52210422405e-09
3 output_MonoHZZ4l_ZpBaryonic_MZp-10000_MChi-1_13TeV-madgraph 1.6433027234e-09
4 output_MonoHZZ4l_ZpBaryonic_MZp-10000_MChi-500_13TeV-madgraph 1.08857500777e-09
5 output_MonoHZZ4l_ZpBaryonic_MZp-10000_MChi-50_13TeV-madgraph 1.57988942477e-09
6 output_MonoHZZ4l_ZpBaryonic_MZp-1000_MChi-1000_13TeV-madgraph 1.25783972306e-07
7 output_MonoHZZ4l_ZpBaryonic_MZp-1000_MChi-150_13TeV-madgraph 0.068793514632
8 output_MonoHZZ4l_ZpBaryonic_MZp-1000_MChi-1_13TeV-madgraph 0.0714177661982
9 output_MonoHZZ4l_ZpBaryonic_MZp-100_MChi-10_13TeV-madgraph 0.932173363261
10 output_MonoHZZ4l_ZpBaryonic_MZp-100_MChi-1_13TeV-madgraph 0.957062258894
11 output_MonoHZZ4l_ZpBaryonic_MZp-10_MChi-1000_13TeV-madgraph 6.2375911045e-12
12 output_MonoHZZ4l_ZpBaryonic_MZp-10_MChi-10_13TeV-madgraph 0.00347844535185
13 output_MonoHZZ4l_ZpBaryonic_MZp-10_MChi-150_13TeV-madgraph 1.04728989028e-06
14 output_MonoHZZ4l_ZpBaryonic_MZp-10_MChi-1_13TeV-madgraph 0.822022260903
15 output_MonoHZZ4l_ZpBaryonic_MZp-10_MChi-500_13TeV-madgraph 1.2869807654e-09
16 output_MonoHZZ4l_ZpBaryonic_MZp-10_MChi-50_13TeV-madgraph 8.96174741132e-05
17 output_MonoHZZ4l_ZpBaryonic_MZp-15_MChi-10_13TeV-madgraph 0.0116467653083
18 output_MonoHZZ4l_ZpBaryonic_MZp-1995_MChi-1000_13TeV-madgraph 0.000239029902306
19 output_MonoHZZ4l_ZpBaryonic_MZp-2000_MChi-1_13TeV-madgraph 0.00398254964899
20 output_MonoHZZ4l_ZpBaryonic_MZp-2000_MChi-500_13TeV-madgraph 0.00409960233775
21 output_MonoHZZ4l_ZpBaryonic_MZp-200_MChi-150_13TeV-madgraph 0.00108981427903
22 output_MonoHZZ4l_ZpBaryonic_MZp-200_MChi-1_13TeV-madgraph 0.790538358833
23 output_MonoHZZ4l_ZpBaryonic_MZp-200_MChi-50_13TeV-madgraph 0.664148967386
24 output_MonoHZZ4l_ZpBaryonic_MZp-20_MChi-1_13TeV-madgraph 1.13189449141
25 output_MonoHZZ4l_ZpBaryonic_MZp-295_MChi-150_13TeV-madgraph 0.046743867299
26 output_MonoHZZ4l_ZpBaryonic_MZp-300_MChi-1_13TeV-madgraph 0.745712438266
27 output_MonoHZZ4l_ZpBaryonic_MZp-300_MChi-50_13TeV-madgraph 0.63492071653
28 output_MonoHZZ4l_ZpBaryonic_MZp-500_MChi-150_13TeV-madgraph 2.37045208371
29 output_MonoHZZ4l_ZpBaryonic_MZp-500_MChi-1_13TeV-madgraph 0.38043169199
30 output_MonoHZZ4l_ZpBaryonic_MZp-500_MChi-500_13TeV-madgraph 6.19994603758e-06
31 output_MonoHZZ4l_ZpBaryonic_MZp-50_MChi-10_13TeV-madgraph 0.933260418044
32 output_MonoHZZ4l_ZpBaryonic_MZp-50_MChi-1_13TeV-madgraph 0.927503792256
33 output_MonoHZZ4l_ZpBaryonic_MZp-50_MChi-50_13TeV-madgraph 0.00216468079113
34 output_MonoHZZ4l_ZpBaryonic_MZp-95_MChi-50_13TeV-madgraph 0.0555888611545
35 output_MonoHZZ4l_ZpBaryonic_MZp-995_MChi-500_13TeV-madgraph 0.00387544935449
36 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1000_MA0-300_13TeV-madgraph-pythia8 0.0247329442242
37 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1000_MA0-400_13TeV-madgraph 1.26570580699e-05
38 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1000_MA0-500_13TeV-madgraph 8.68525348025e-06
39 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1000_MA0-600_13TeV-madgraph 5.91074768123e-06
40 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1000_MA0-700_13TeV-madgraph 3.02082470469e-06
41 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1000_MA0-800_13TeV-madgraph 1.01669259898e-06
42 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1200_MA0-300_13TeV-madgraph-pythia8 0.00796483119406
43 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1200_MA0-400_13TeV-madgraph 4.2621966844e-06
44 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1200_MA0-500_13TeV-madgraph 3.41980557672e-06
45 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1200_MA0-600_13TeV-madgraph 3.11271876068e-06
46 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1200_MA0-700_13TeV-madgraph 2.35157850132e-06
47 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1400_MA0-300_13TeV-madgraph-pythia8 0.00256080677874
48 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1400_MA0-400_13TeV-madgraph 1.55385682089e-06
49 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1400_MA0-500_13TeV-madgraph 1.22129051147e-06
50 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1400_MA0-600_13TeV-madgraph 1.12565500437e-06
51 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1400_MA0-700_13TeV-madgraph 1.10694457555e-06
52 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1400_MA0-800_13TeV-madgraph 9.38060565697e-07
53 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1700_MA0-300_13TeV-madgraph-pythia8 0.000610371374918
54 output_ZprimeToA0hToA0chichihZZTo4l_2HDM_MZp-1700_MA0-400_13TeV-madgraph 3.53584989822e-07
